CHAT: Apr 19 15:43:42 {name  = "Cecemel", ucid = "565a95bb1086f56c4adc7f838b1754fa", ip = "178.117.32.13:50712", id = 2} said "f" to all
CHAT: Apr 19 17:34:04 {name  = "Max Zorin", ucid = "72a4cc2c0d4bbc0f58a7a7788a2daa33", ip = "77.179.76.43:50615", id = 18} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Shiva 1-1 | Shaussette", ucid = "60daf8292b33614ea994c7ecead5940c", ip = "91.173.78.186:64550", id = 19} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Ronald Reagan", ucid = "24e9492b5b1388709cff13f6e480d564", ip = "69.158.70.8:50898", id = 20} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51518", id = 21} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Sylvain Pacte", ucid = "c335db381d8ccb3879d75c33cdbe35bc", ip = "90.78.135.110:63722", id = 22} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Slayer-1-1 | Buckshot", ucid = "87af126cb8bc4f6f2c000ff90ace743d", ip = "91.65.148.113:56334", id = 23} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "[Madrid 6-9] Jaki", ucid = "38f9543bc0c5237870392693e7bb1a26", ip = "37.134.145.227:51027", id = 30} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Bravo 1 - 6 I Magnum", ucid = "a55313bdc75cfe9158f41e73958996dc", ip = "93.185.19.215:32255", id = 31} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:12 {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16} said "SORREY BRO" to all
CHAT: Apr 19 17:39:02 {name  = "Tronzoid", ucid = "7d0bb614ba06a829216b124623d5f576", ip = "81.158.109.115:55538", id = 9} said "Err buddy" to all
CHAT: Apr 19 17:39:06 {name  = "Tronzoid", ucid = "7d0bb614ba06a829216b124623d5f576", ip = "81.158.109.115:55538", id = 9} said "your wings aren't down" to all
CHAT: Apr 19 17:40:33 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51518", id = 21} said "Where are enemys?" to all
TEAM HIT: Apr 19 17:56:45 {players = {1 = {name  = "Tac_Rookie", ucid = "4d30ea1c3484e54bd1f2fe6a5c0f5d94", ip = "49.51.134.95:50453", id = 11}1 = {name = Cobra 103 | Tomcat with AIM-120C-5
TEAM KILL: Apr 19 17:56:49 {players = {1 = {name  = "Tac_Rookie", ucid = "4d30ea1c3484e54bd1f2fe6a5c0f5d94", ip = "nil", id = 11}1 = {name = Cobra 103 | Tomcat with AIM-120C-5
CHAT: Apr 19 17:57:06 {name  = "Tac_Rookie", ucid = "4d30ea1c3484e54bd1f2fe6a5c0f5d94", ip = "49.51.134.95:50453", id = 11} said "sorry" to all
CHAT: Apr 19 17:57:33 {name  = "Cobra 103 | Tomcat", ucid = "9c7b4cff7a8d7faa5b32fc80ca7d84a1", ip = "82.10.177.115:56314", id = 10} said "-forgive" to all (output suppressed by Slmod)
CHAT: Apr 19 17:57:33 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "how" to all
TEAM HIT: Apr 19 18:06:48 {players = {1 = {name  = "VIP3R", ucid = "30fb4ad5c39a150952d834f1d257b52d", ip = "31.215.149.227:52532", id = 36}1 = {name = Lügenbaron aus NRW with R-73 (AA-11 Archer)
CHAT: Apr 19 18:06:56 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51518", id = 21} said "Wtf" to all
TEAM KILL: Apr 19 18:06:59 {players = {1 = {name  = "VIP3R", ucid = "30fb4ad5c39a150952d834f1d257b52d", ip = "nil", id = 36}1 = {name = Lügenbaron aus NRW with R-73 (AA-11 Archer)
CHAT: Apr 19 18:07:06 {name  = "VIP3R", ucid = "30fb4ad5c39a150952d834f1d257b52d", ip = "31.215.149.227:52532", id = 36} said "shit sry" to all
CHAT: Apr 19 18:07:19 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51518", id = 21} said "-punish" to all (output suppressed by Slmod)
CHAT: Apr 19 18:07:46 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51518", id = 21} said "Third time killed by a Teammate, nice" to all
TEAM HIT: Apr 19 18:08:48 {players = {1 = {name  = "Bravo 1 - 6 I Magnum", ucid = "a55313bdc75cfe9158f41e73958996dc", ip = "93.185.19.215:32255", id = 31}1 = {name = Heat with AIM-120C-5
TEAM KILL: Apr 19 18:09:24 {players = {1 = {name  = "Bravo 1 - 6 I Magnum", ucid = "a55313bdc75cfe9158f41e73958996dc", ip = "nil", id = 31}1 = {name = Heat with AIM-120C-5
