CHAT: Dec 26 17:27:56 {name  = "GUYVER ARMOR", ucid = "120a9e8c560d276712a1d1b970aa810c", ip = "12.207.220.78:51619", id = 2} said "uff u too" to all
CHAT: Dec 26 21:37:07 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "liquid got a problem with flaps shit" to all
CHAT: Dec 26 21:37:16 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "respawn and come back to you" to all
CHAT: Dec 26 21:37:21 {name  = "Vortex | 1-1 |", ucid = "aa65dc62ccf096b71cdace9fad974e7e", ip = "83.45.142.65:50923", id = 17} said "wich kmodule is needed to take de bombers?" to all
CHAT: Dec 26 21:37:23 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "sorry" to all
CHAT: Dec 26 21:37:29 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "karolukas hold my beer mate.. move out" to all
CHAT: Dec 26 21:38:15 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "overkill xd" to all
CHAT: Dec 26 21:38:25 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "ooooof" to all
CHAT: Dec 26 21:38:30 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "no choiuse on outside pulons" to all
CHAT: Dec 26 21:39:06 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "goin to krymsk" to all
CHAT: Dec 26 21:40:28 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "oh god" to all
CHAT: Dec 26 21:40:36 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "that rwy gonna be inop xD" to all
CHAT: Dec 26 21:41:22 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "maydayyyyyyyyyyyyyyyyyyy" to all
CHAT: Dec 26 21:41:26 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "wtf hit me" to all
CHAT: Dec 26 21:41:51 {name  = "=GR= Vyrr", ucid = "c1b11f2234373ffe73f778bdbc1b40e5", ip = "94.67.137.130:62987", id = 23} said "-stats me" to all (output suppressed by Slmod)
CHAT: Dec 26 21:42:06 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "arip" to all
CHAT: Dec 26 21:42:08 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "anyone need cap? just out of maykop" to all
CHAT: Dec 26 21:45:48 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "I am on the migs from north west" to all
CHAT: Dec 26 21:46:23 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "inb kras" to all
CHAT: Dec 26 21:49:17 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "final kras" to all
CHAT: Dec 26 21:52:11 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64767", id = 26} said "papier WTF r u doing" to all
CHAT: Dec 26 21:52:19 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "warning many holes in kras rwy" to all
CHAT: Dec 26 21:52:39 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64767", id = 26} said "blue heli shooting blues at maykopp" to all
