CHAT: Feb 28 03:10:48 {name  = "Bad Idea Hat", ucid = "bbf19995f3fd39fb3a7efda3063b4b66", ip = "184.54.123.71:64220", id = 5} said "-motd" to all (output suppressed by Slmod)
CHAT: Feb 28 14:56:14 {name  = "Ghostriderrr", ucid = "36dab71155ccd44d29bffa27b4b2b8c5", ip = "77.236.208.121:50000", id = 21} said "help" to all
CHAT: Feb 28 14:56:26 {name  = "Ghostriderrr", ucid = "36dab71155ccd44d29bffa27b4b2b8c5", ip = "77.236.208.121:50000", id = 21} said "11 fighter 1 bomb from north" to all
CHAT: Feb 28 14:57:01 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "wow" to all
CHAT: Feb 28 15:05:25 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "hi" to all
CHAT: Feb 28 15:05:29 {name  = "Abdel", ucid = "c96749f43e21259ee9b919eedb3c248c", ip = "90.255.57.48:57134", id = 17} said "hello" to all
CHAT: Feb 28 15:10:44 {name  = "Empire 1-2 | lewisc00", ucid = "ca37ad355336194d1ef364b15e1f4d6a", ip = "81.129.42.46:50411", id = 8} said "green dot may need some bvr to the east of you" to all
CHAT: Feb 28 15:11:03 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "cpy" to all
CHAT: Feb 28 15:11:21 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "sorry man my game is freezing didnt see you" to all
CHAT: Feb 28 15:11:34 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Yeah no problem I saw you teleport haha. Go ahead if you can." to all
CHAT: Feb 28 15:11:43 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "stay awy :D" to all
CHAT: Feb 28 15:12:47 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Nice livery ;)" to all
CHAT: Feb 28 15:13:09 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "thanks <3" to all
CHAT: Feb 28 15:19:48 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:60446", id = 7} said "inb novo 04" to all
CHAT: Feb 28 15:23:50 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "i got the leader locked" to all
CHAT: Feb 28 15:25:43 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "nice formation" to all
CHAT: Feb 28 15:25:51 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said ":-)" to all
CHAT: Feb 28 15:26:59 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "nee rearming" to all
CHAT: Feb 28 15:29:46 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "i would have kept left side of RW" to all
CHAT: Feb 28 15:29:47 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "sead for guduata" to all
CHAT: Feb 28 15:30:19 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "no problem... was a nice landing" to all
CHAT: Feb 28 15:30:33 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "what are your plans for the next ride?" to all
CHAT: Feb 28 15:31:44 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "FJ57" to all
CHAT: Feb 28 15:32:11 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "Marked it on F10 hdg 101 263km" to all
CHAT: Feb 28 15:32:49 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "-admin alert Friendly reminder to all, please don't take off from Taxi Ways :)" to all (output suppressed by Slmod)
CHAT: Feb 28 15:32:50 {name  = "CHAMPI 1-1 | quatre", ucid = "3242cd6753a6ae63df2fec5793eabcbb", ip = "78.62.3.22:50116", id = 2} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Fitozgz", ucid = "3d473ce8c2cbffe8605604397048e298", ip = "88.11.114.245:57627", id = 4} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Jonney Napalm", ucid = "2980b7ff454ef2dff894018eaa113eab", ip = "81.100.130.87:57944", id = 5} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:60446", id = 7} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "TERROR1", ucid = "46edbed32c0232857343890470c25b16", ip = "95.151.142.72:49965", id = 8} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "CzechAirForce_Hans", ucid = "2d9b4dc3736793cc01c2f0d32b3a5820", ip = "90.176.146.164:55361", id = 9} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "And3rsonR3is", ucid = "3e092a637613bc0f722b0f64cff7e4d7", ip = "187.101.214.35:52284", id = 10} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Warwolf 01", ucid = "de3d93d0a68f512859258d50c14ca0e9", ip = "92.184.102.122:49888", id = 11} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:60724", id = 12} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "_vetica", ucid = "53be158491ac9c0c298ebb942c538bb4", ip = "178.39.111.236:52261", id = 13} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Struger", ucid = "ee180fcf62694aee2422d4c2541f901b", ip = "83.11.176.164:53527", id = 14} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "HAMMER77", ucid = "7b158efcd4c2bca0edd671a9e6cad363", ip = "188.192.174.200:50350", id = 15} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "johnpapa", ucid = "70642aeb67b8ee8732d9e510ce23f77d", ip = "83.249.21.22:60068", id = 16} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "maciek", ucid = "687752aeb475ad6e0c15018ea4069e8a", ip = "83.31.171.94:53268", id = 17} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "TheLuckyHD", ucid = "63e163e85b9426dad97a21218d74d89f", ip = "46.5.18.196:1197", id = 19} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Drangon 1-1 | COLD_3GG", ucid = "87d25bde85b50feaf49e9b2981f2a65f", ip = "151.50.7.212:57392", id = 20} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Ghostriderrr", ucid = "36dab71155ccd44d29bffa27b4b2b8c5", ip = "77.236.208.121:50000", id = 21} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Shekel 1-2 |[115✡︎]Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "188.222.85.221:50130", id = 22} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "NorciM", ucid = "bd79abd64b10ed6716df44ada7030059", ip = "178.195.136.121:50165", id = 24} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Lonzeu13", ucid = "f620381987793db35f1a0205c19255cc", ip = "91.23.167.101:53393", id = 27} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "KABASAKAL", ucid = "a5566320e4dc49b1901f4fdf99a1a7cd", ip = "82.222.132.133:54189", id = 28} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "polacus", ucid = "2c1bb1b92d32095288b062d93fe316d7", ip = "80.102.46.188:52792", id = 29} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "fahad", ucid = "ffeb39cbf54452f99cd465661fcb80dc", ip = "88.98.240.178:27905", id = 30} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "IRRE_Belmont", ucid = "355e2704b26a28a7dc3ccaad90d616f1", ip = "176.190.252.186:53381", id = 31} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Bishop", ucid = "cc250861eec6e00ac75452f84d0f3006", ip = "46.196.68.153:64301", id = 32} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "TERROR 2", ucid = "a45def64cd10576108e5735a44f6aaa1", ip = "94.2.71.177:52416", id = 33} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "DevilDelight", ucid = "ca4bdbfd8870f7b7648dd2686db6169c", ip = "213.22.240.211:64928", id = 34} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "OrbitalStrike_04(RH)", ucid = "494cb1308401a93378b8bade57eea012", ip = "2.203.70.173:64974", id = 35} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "Mara von döt", ucid = "962a220f1d8b424e0dce49114ee3e59b", ip = "185.19.122.178:39276", id = 37} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:50 {name  = "TIBZ66", ucid = "cef30799be5bed6c491c3145e6d58727", ip = "86.227.139.91:56387", id = 40} said "Admin Alert Message From: [115AGR] Red 1-1 | Linda" to all
CHAT: Feb 28 15:32:52 {name  = "CHAMPI 1-1 | quatre", ucid = "3242cd6753a6ae63df2fec5793eabcbb", ip = "78.62.3.22:50116", id = 2} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Fitozgz", ucid = "3d473ce8c2cbffe8605604397048e298", ip = "88.11.114.245:57627", id = 4} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Jonney Napalm", ucid = "2980b7ff454ef2dff894018eaa113eab", ip = "81.100.130.87:57944", id = 5} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:60446", id = 7} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "TERROR1", ucid = "46edbed32c0232857343890470c25b16", ip = "95.151.142.72:49965", id = 8} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "CzechAirForce_Hans", ucid = "2d9b4dc3736793cc01c2f0d32b3a5820", ip = "90.176.146.164:55361", id = 9} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "And3rsonR3is", ucid = "3e092a637613bc0f722b0f64cff7e4d7", ip = "187.101.214.35:52284", id = 10} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Warwolf 01", ucid = "de3d93d0a68f512859258d50c14ca0e9", ip = "92.184.102.122:49888", id = 11} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:60724", id = 12} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "_vetica", ucid = "53be158491ac9c0c298ebb942c538bb4", ip = "178.39.111.236:52261", id = 13} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Struger", ucid = "ee180fcf62694aee2422d4c2541f901b", ip = "83.11.176.164:53527", id = 14} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "HAMMER77", ucid = "7b158efcd4c2bca0edd671a9e6cad363", ip = "188.192.174.200:50350", id = 15} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "johnpapa", ucid = "70642aeb67b8ee8732d9e510ce23f77d", ip = "83.249.21.22:60068", id = 16} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "maciek", ucid = "687752aeb475ad6e0c15018ea4069e8a", ip = "83.31.171.94:53268", id = 17} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "TheLuckyHD", ucid = "63e163e85b9426dad97a21218d74d89f", ip = "46.5.18.196:1197", id = 19} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Drangon 1-1 | COLD_3GG", ucid = "87d25bde85b50feaf49e9b2981f2a65f", ip = "151.50.7.212:57392", id = 20} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Ghostriderrr", ucid = "36dab71155ccd44d29bffa27b4b2b8c5", ip = "77.236.208.121:50000", id = 21} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Shekel 1-2 |[115✡︎]Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "188.222.85.221:50130", id = 22} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "NorciM", ucid = "bd79abd64b10ed6716df44ada7030059", ip = "178.195.136.121:50165", id = 24} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Lonzeu13", ucid = "f620381987793db35f1a0205c19255cc", ip = "91.23.167.101:53393", id = 27} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "KABASAKAL", ucid = "a5566320e4dc49b1901f4fdf99a1a7cd", ip = "82.222.132.133:54189", id = 28} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "polacus", ucid = "2c1bb1b92d32095288b062d93fe316d7", ip = "80.102.46.188:52792", id = 29} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "fahad", ucid = "ffeb39cbf54452f99cd465661fcb80dc", ip = "88.98.240.178:27905", id = 30} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "IRRE_Belmont", ucid = "355e2704b26a28a7dc3ccaad90d616f1", ip = "176.190.252.186:53381", id = 31} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Bishop", ucid = "cc250861eec6e00ac75452f84d0f3006", ip = "46.196.68.153:64301", id = 32} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "TERROR 2", ucid = "a45def64cd10576108e5735a44f6aaa1", ip = "94.2.71.177:52416", id = 33} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "DevilDelight", ucid = "ca4bdbfd8870f7b7648dd2686db6169c", ip = "213.22.240.211:64928", id = 34} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "OrbitalStrike_04(RH)", ucid = "494cb1308401a93378b8bade57eea012", ip = "2.203.70.173:64974", id = 35} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "Mara von döt", ucid = "962a220f1d8b424e0dce49114ee3e59b", ip = "185.19.122.178:39276", id = 37} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:32:52 {name  = "TIBZ66", ucid = "cef30799be5bed6c491c3145e6d58727", ip = "86.227.139.91:56387", id = 40} said "Friendly reminder to all, please don't take off from Taxi Ways :)" to all
CHAT: Feb 28 15:33:02 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "ok...one moment" to all
CHAT: Feb 28 15:33:09 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "ok" to all
CHAT: Feb 28 15:33:31 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:60724", id = 12} said "inb anapa runw 22" to all
CHAT: Feb 28 15:33:42 {name  = "CzechAirForce_Hans", ucid = "2d9b4dc3736793cc01c2f0d32b3a5820", ip = "90.176.146.164:55361", id = 9} said "the survavibility of this plane is too much" to all
CHAT: Feb 28 15:34:05 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "air to air?" to all
CHAT: Feb 28 15:34:15 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "cant find fj" to all
CHAT: Feb 28 15:34:48 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "near nalchik?" to all
CHAT: Feb 28 15:35:04 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "draw a line from here  hdg 101" to all
CHAT: Feb 28 15:35:08 {name  = "CzechAirForce_Hans", ucid = "2d9b4dc3736793cc01c2f0d32b3a5820", ip = "90.176.146.164:55361", id = 9} said "jzs the lag" to all
CHAT: Feb 28 15:35:16 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "go 263 km" to all
CHAT: Feb 28 15:35:57 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "ok...but i will go for the Grisha..." to all
CHAT: Feb 28 15:36:00 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "have fun" to all
CHAT: Feb 28 15:36:02 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "cu later" to all
CHAT: Feb 28 15:36:17 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "ok" to all
CHAT: Feb 28 15:36:45 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "didint see it, I will follow you" to all
CHAT: Feb 28 15:36:53 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "ok" to all
CHAT: Feb 28 15:37:00 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "go" to all
CHAT: Feb 28 15:37:13 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "formatrion TO" to all
CHAT: Feb 28 15:37:21 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "just some km heading rgr" to all
CHAT: Feb 28 15:38:28 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "270" to all
CHAT: Feb 28 15:39:23 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "15000" to all
CHAT: Feb 28 15:40:51 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "programming HPD" to all
CHAT: Feb 28 15:42:46 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "fire in 10" to all
CHAT: Feb 28 15:43:18 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "ok i am done...." to all
CHAT: Feb 28 15:43:28 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "i will follow you now ... ok?" to all
CHAT: Feb 28 15:44:49 {name  = "Wizard 1-1 | Archer ↭", ucid = "7c9df90d395f404aabfcd0e22e6d96ae", ip = "78.173.76.82:40431", id = 25} said "wtf happened to SD-10s" to all
TEAM HIT: Feb 28 15:45:12 {players = {1 = {name  = "MikeLeeuwarden NL", ucid = "7dcc4b8087daf1c1eea446973c8c8d3e", ip = "86.93.229.170:55278", id = 7}1 = {name = Falcon18 with Mk-84
CHAT: Feb 28 15:46:11 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Is someone bombing sochi?" to all
CHAT: Feb 28 15:46:38 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "no" to all
CHAT: Feb 28 15:46:49 {name  = "Falcon18", ucid = "0b2ad4d171f39c91990a92a195353c2f", ip = "92.107.56.25:59440", id = 15} said "I don't no" to all
CHAT: Feb 28 15:46:57 {name  = "[115AGR✡] Linda", ucid = "4ae0a986e141046d217b55d089f83ab9", ip = "2.26.173.204:54142", id = 3} said "Just noticed alot of craters all of a sudden" to all
CHAT: Feb 28 15:48:21 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "176.202.105.236:64999", id = 6} said "seems clear no creats" to all
CHAT: Feb 28 15:48:47 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "grisha is toasted" to all
CHAT: Feb 28 15:50:40 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "We're far from the action" to all
CHAT: Feb 28 15:51:16 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "going for a small bunker on the coast" to all
CHAT: Feb 28 15:51:34 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "rgr" to all
CHAT: Feb 28 15:52:20 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "ennemy f18 south east" to all
CHAT: Feb 28 15:52:24 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "218km" to all
CHAT: Feb 28 15:52:37 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "chck" to all
CHAT: Feb 28 15:56:01 {name  = "Testos", ucid = "ba0a160667c5776fe865230174692a5c", ip = "144.172.180.97:64507", id = 26} said "going below clouds" to all
CHAT: Feb 28 15:56:15 {name  = "Yellow 1.3 / Nowings", ucid = "b9f3d2d83d3ccc322785ba20e21759f3", ip = "79.225.168.246:49951", id = 23} said "rgr" to all
