CHAT: Apr 15 19:56:35 {name  = "Atec", ucid = "418f1c552c1ecbb1bc8843084e452390", ip = "95.91.198.172:1335", id = 7} said "good kill ^^" to all
CHAT: Apr 15 21:05:56 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "-admin spec sapper101" to all (output suppressed by Slmod)
CHAT: Apr 15 21:06:08 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "-admin spec Sapper_101" to all (output suppressed by Slmod)
CHAT: Apr 15 21:06:08 {name  = "Alladin 1- 1 (Wingman)", ucid = "73343e2146f9cf790a41427b2ccd5fba", ip = "67.166.50.33:62577", id = 2} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Kabo", ucid = "536e898d763c5eba19d3172fe8859bce", ip = "90.93.24.250:1652", id = 3} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "269 | Rolo Tomassi", ucid = "71f79bbb309f434adb07f9a8cb8604c2", ip = "184.68.107.70:52185", id = 4} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "4YA Admin | Wellsy13", ucid = "e391ed0549bb19d1e802c92b58ed6b41", ip = "2.101.30.205:52089", id = 5} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Trojan 1-1 | Fisher", ucid = "0ed16e2fab622be7be70038750d3f3bf", ip = "80.112.31.150:61626", id = 6} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:50653", id = 8} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Red_Apprentice", ucid = "aa4203bbad6dfa2edaded4c36304aeb5", ip = "73.254.216.248:56862", id = 10} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Snowflake", ucid = "1a3c2343382bc52f3c55ca6b0c37e1db", ip = "86.106.103.20:50464", id = 11} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Angel", ucid = "ed07b55b6705839a0bd183a4c0edecd0", ip = "178.158.194.143:55009", id = 12} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "SaLMoN", ucid = "8613582e54f9f7908b7cf81fd7adea1e", ip = "81.190.248.48:62675", id = 13} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "ECM-279", ucid = "0752689e2fd2dbeb6b945f33e269c103", ip = "31.16.156.16:49995", id = 14} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Nassimdxb", ucid = "b098148213e11a0bb76aba24c2ff1dac", ip = "87.201.63.70:55364", id = 15} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "nakostyfoon", ucid = "3f25b53980794d12140a6ba1a31a04e0", ip = "193.92.238.171:57063", id = 17} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "si", ucid = "2524e85fdae326a62693a8814c154763", ip = "78.173.51.56:53785", id = 18} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "hartmann", ucid = "e0153e93b6ebb97fb087a46d8aa23e61", ip = "84.59.55.97:60435", id = 19} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "PewPewFighterPilot", ucid = "7ef61b51d4a2a4c9fd8060d6ddf623f7", ip = "95.148.163.48:54830", id = 20} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Ayey", ucid = "5c9b2c4bd446d3b64a7c60efd35b3cfa", ip = "219.95.94.173:62615", id = 21} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Einherjinn", ucid = "097ae56c7cb1a98fdf153668540e3939", ip = "194.144.12.58:51250", id = 23} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "CheckYourVS", ucid = "41dc620c023fb5dc9cdb41323c5b8065", ip = "216.180.143.70:62214", id = 24} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Grif", ucid = "45fec6037b514987dd73d3b68d315a42", ip = "107.2.234.132:60555", id = 25} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Firestarter_76", ucid = "89e34067315b0690104ff9c454650ea9", ip = "94.252.121.72:18310", id = 26} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Wolfhound", ucid = "5548565b56cd6a0e5f4ff8fee3b6e145", ip = "86.92.105.30:52279", id = 27} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "WizoR", ucid = "c00cd9198770f4a5061b883eccce4d80", ip = "194.219.76.175:54299", id = 28} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Sapper_101", ucid = "256687265b2a355863abfd7b2b328eaf", ip = "119.160.71.163:30714", id = 29} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Zork", ucid = "c171c61474e5afb74cc8e8ed0bef7275", ip = "79.53.212.18:51264", id = 31} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Buffalo", ucid = "d858c5678952777083dd03357de829c6", ip = "178.27.138.81:56045", id = 32} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Amrak", ucid = "472aa223093fb17d7c4a74dab81c4928", ip = "70.104.165.144:52244", id = 33} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Taureau 1-2 | Rakilonn", ucid = "3bbbefd5133c870b24164dff4d13f5f1", ip = "90.43.209.133:63196", id = 34} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "HateSlave", ucid = "972d1568ec6de03942e3d9053b356ea6", ip = "91.168.122.202:10869", id = 35} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "nowak", ucid = "65ad520ab4a9c998b1475a5569b2ab36", ip = "86.8.250.191:51603", id = 36} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "drunkenSlav", ucid = "533f2194e0cc7e9a45a17e3b12a826f8", ip = "185.75.116.132:52722", id = 37} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "De Niro 1-1| OneClip", ucid = "1b0a385bda17975451423d015ee68e66", ip = "74.105.119.55:61139", id = 38} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Denoxxx", ucid = "ccdcebb29e047a74d08c2686ff40dae4", ip = "46.219.216.42:51008", id = 39} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:08 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "Slmod: server admin "[RODO] Kagrack" kicked player "Sapper_101" to spectators." to all
CHAT: Apr 15 21:06:30 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "what is the default missile laucnh keybind for the f16?" to all
CHAT: Apr 15 21:06:43 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "weapon release" to all
CHAT: Apr 15 21:07:00 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "ALT+F4" to all
CHAT: Apr 15 21:07:11 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "thank you squadron" to all
CHAT: Apr 15 21:07:52 {name  = "HateSlave", ucid = "972d1568ec6de03942e3d9053b356ea6", ip = "91.168.122.202:10869", id = 35} said "ra" to all
CHAT: Apr 15 21:07:58 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "i dont see anything under weapon release" to all
CHAT: Apr 15 21:08:05 {name  = "HateSlave", ucid = "972d1568ec6de03942e3d9053b356ea6", ip = "91.168.122.202:10869", id = 35} said "RALT + SPACE to weapon release" to all
CHAT: Apr 15 21:08:14 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "gotcha thanks" to all
CHAT: Apr 15 21:08:56 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Just got the Viper too" to all
CHAT: Apr 15 21:09:13 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "The amount of HOTAS buttons is crazy" to all
CHAT: Apr 15 21:09:32 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "yea it is" to all
CHAT: Apr 15 21:09:51 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "I've flown the Tomcat before and it needs like a third of the buttons the Viper does" to all
CHAT: Apr 15 21:11:34 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "wtf" to all
CHAT: Apr 15 21:11:37 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "XD" to all
CHAT: Apr 15 21:11:55 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "who did i just spawn with XD" to all
TEAM HIT: Apr 15 21:12:57 {players = {1 = {name  = "Trojan 1-1 | Fisher", ucid = "0ed16e2fab622be7be70038750d3f3bf", ip = "80.112.31.150:61626", id = 6}1 = {name = Einherjinn with AIM-9X
TEAM KILL: Apr 15 21:13:16 {players = {1 = {name  = "Trojan 1-1 | Fisher", ucid = "0ed16e2fab622be7be70038750d3f3bf", ip = "nil", id = 6}1 = {name = Einherjinn with AIM-9X
CHAT: Apr 15 21:13:19 {name  = "Trojan 1-1 | Fisher", ucid = "0ed16e2fab622be7be70038750d3f3bf", ip = "80.112.31.150:61626", id = 6} said "sorry mate, no iff" to all
TEAM HIT: Apr 15 21:13:25 {players = {1 = {name  = "hartmann", ucid = "e0153e93b6ebb97fb087a46d8aa23e61", ip = "84.59.55.97:60435", id = 19}1 = {name = Edward | Stingray 4-1 with AIM-120C-5
TEAM KILL: Apr 15 21:13:32 {players = {1 = {name  = "hartmann", ucid = "e0153e93b6ebb97fb087a46d8aa23e61", ip = "nil", id = 19}1 = {name = Edward | Stingray 4-1 with AIM-120C-5
CHAT: Apr 15 21:13:35 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "IFF" to all
CHAT: Apr 15 21:13:38 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "ever heard about it ?" to all
CHAT: Apr 15 21:13:44 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "-punish" to all (output suppressed by Slmod)
TEAM HIT: Apr 15 21:18:49 {players = {1 = {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7}1 = {name = nakostyfoon with Matra Magic II
TEAM KILL: Apr 15 21:18:55 {players = {1 = {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "nil", id = 7}1 = {name = nakostyfoon with Matra Magic II
CHAT: Apr 15 21:18:57 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "stupid fucking team killer" to all
CHAT: Apr 15 21:19:07 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "literally launched 2 fox 2's at me" to all
CHAT: Apr 15 21:19:14 {name  = "drunkenSlav", ucid = "533f2194e0cc7e9a45a17e3b12a826f8", ip = "185.75.116.132:52722", id = 37} said "haha this guy whines like a Deathly" to all
CHAT: Apr 15 21:19:32 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "he missed with 2 aim-9x's wtf" to all
CHAT: Apr 15 21:21:39 {name  = "269 | Rolo Tomassi", ucid = "71f79bbb309f434adb07f9a8cb8604c2", ip = "184.68.107.70:52185", id = 4} said "Good fight." to all
CHAT: Apr 15 21:21:50 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "this man used an aim-120c at 2 miles" to all
CHAT: Apr 15 21:22:01 {name  = "Ghost 1-1 | Yakub", ucid = "c7a4eb54724c390855efe6211a974528", ip = "188.167.226.228:2704", id = 6} said "could you stop whininh" to all
CHAT: Apr 15 21:22:25 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "press tab if u dont like it bud" to all
CHAT: Apr 15 21:22:46 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Buddy spike JF-17" to all
CHAT: Apr 15 21:22:51 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "you do know there is an admin online rn right ?" to all
CHAT: Apr 15 21:24:19 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "tell the admin to ban the idiot who tried to kill me with 2 fox 2's" to all
CHAT: Apr 15 21:24:36 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "teamate* just to be clear" to all
CHAT: Apr 15 21:25:10 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Okay, now to find the wing tank jettison button" to all
CHAT: Apr 15 21:25:21 {name  = "ECM-279", ucid = "0752689e2fd2dbeb6b945f33e269c103", ip = "31.16.156.16:49995", id = 14} said "dickus glad that u survived" to all
CHAT: Apr 15 21:25:30 {name  = "Biggus_Dickus", ucid = "0879a451876a11782a9808c67853a5de", ip = "37.214.27.41:24910", id = 20} said "ty)" to all
CHAT: Apr 15 21:27:29 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Hornet spiking me" to all
CHAT: Apr 15 21:27:33 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "are you friendly?" to all
CHAT: Apr 15 21:32:46 {name  = "rev", ucid = "68964b60ea37c05375c09282ed0b2002", ip = "195.38.119.141:43997", id = 16} said "Where's wing tanks jettison on the Viper?" to all
